name,Cases,Deaths,Sick,Spread,DaytimePopDensity,Traffic,SVIHousing,Vaccines,DistancingGrade,Testing,PctBeds,PctVentilators,PctBlack,PctNative,AirPollution,PctGE65,PrematureDeath,Smoking,Diabetes,Obesity,PctNoIns,SVISocioeconomic
"Missouri, St. Charles",54231,531,3.78774594044822,0.0278807324224152,589.7,262.20616288,0.1213,0.463,5.0,2172,0.91,0.49,0.0499321112,0.0024424949,11.7,14.2,5871.088027,0.1612922479,0.079,0.298,4.5,0.0188
"Missouri, St. Clair",1219,14,4.78978179882916,0.036915504511895,13.2,20.945129014,0.4747,0.695,4.0,2299,0.31,0.0,0.0058541778,0.0087280468,9.1,26.7,7401.3299303,0.207671741,0.139,0.367,12.4,0.6369
"Missouri, Ste. Genevieve",2317,29,3.29830053667263,0.0254639620198533,30.8,22.810454965,0.0974,0.598,4.3,1922,0.53,0.0,0.0083855098,0.0032423971,10.6,18.5,6836.1868581,0.1937015216,0.13,0.347,4.9,0.3669
"Missouri, St. Francois",11730,152,5.65285191627182,0.0321398124467178,139.9,87.120594267,0.9112,0.626,5.0,2980,0.57,0.32,0.0454177413,0.0043933305,10.3,15.8,9846.0016689,0.2220081864,0.094,0.386,9.0,0.6914
"Missouri, St. Louis",119401,2064,3.2729990119816,0.0273280793293189,2124.0,577.58592033,0.3273,0.453,5.0,2867,0.84,0.35,0.2466033733,0.0021495669,12.1,17.3,7988.917825,0.1571373411,0.113,0.279,6.1,0.1277
"Missouri, Saline",3989,46,6.24590521948024,0.0358485836049135,29.5,22.121232882,0.8739,0.584,4.0,1841,0.88,0.0,0.0513649268,0.009215986,9.6,17.8,7229.2995782,0.2027650786,0.115,0.358,8.6,0.5981
"Missouri, Schuyler",407,7,1.08719286801479,0.0122850122850123,11.5,39.976071968,0.212,0.749,3.0,1202,0.5525,0.0063,0.0013046314,0.0032615786,9.3,19.3,6728.5815743,0.205777961,0.136,0.309,15.1,0.6213
"Missouri, Scotland",333,4,0.402738622633911,0.006006006006006,10.0,26.609855628,0.7004,0.768,3.0,469,0.62,0.0,0.0010068466,0.0034232783,9.5,18.2,6923.625861,0.2111973445,0.087,0.321,33.5,0.6885
"Missouri, Scott",6938,110,6.65661240834157,0.0368982415681753,92.2,52.732517706,0.6017,0.614,5.0,1818,0.6788,0.195,0.1191169588,0.0039263612,11.5,17.5,10533.826575,0.2240641182,0.165,0.355,11.0,0.7111
"Missouri, Shannon",960,16,3.05287580901209,0.0260416666666667,7.6,24.208807153,0.2888,0.728,3.0,1323,0.6038,0.13,0.0041519111,0.0125778483,9.4,20.7,9513.1065476,0.2375526419,0.137,0.349,18.8,0.9022
