fips,PopDensity,Male,RuralCont,EconArea,HouseholdSize,noHealthInsurance,noHighSchool,Poverty,logPopDensity,PercentEduHealthSoc,SES,Household,HousingType,Asthma,Cancer,COPD,Stroke,HF,HTN,KD,WBSeg,WNWSeg
6001,2261.547725,49.25702839,2,146.0,2.7,6.8,12.5,9.3,7.723804692000001,22.0,0.2548,0.0239,0.9159999999999999,5.9497,7.1729,7.6763,3.9343,12.4588,52.3299,24.679000000000002,49.89044415,35.75507956
6003,1.529126542,53.94154119,0,140.0,2.32,8.4,10.2,18.1,0.424696685,18.2,0.6672,0.6266,0.7055,5.458648146,7.0423,9.872250891,3.6605879210000003,5.6338,39.9061,19.2488,1.0,1.0
6005,66.85727741,54.43248138,0,140.0,2.3,7.2,10.3,10.9,4.202560159,19.7,0.3901,0.3754,0.7509999999999999,4.2897,7.9738,8.8065,2.9018,11.456,49.9621,20.9816,1.0,11.77204509
6007,133.9391125,49.48901846,1,140.0,2.45,8.7,11.2,18.1,4.897385312,27.8,0.6583,0.3133,0.9484,5.5608,7.6467,13.4368,3.7682,10.8593,51.6482,22.0845,62.09950724,27.47646106
6009,45.00446074,49.77017754,0,146.0,2.39,8.5,10.0,13.1,3.806761612,20.8,0.314,0.5973,0.063,4.3701,7.8429,9.5408,3.0677,11.6535,49.1897,17.3838,57.41475929,16.06796983
6011,18.72463567,50.93516499,0,140.0,3.0,13.8,30.6,12.2,2.9298400719999997,12.8,0.5898,0.6851,0.4228,3.3266,5.914,9.8454,2.2513,12.4664,55.5108,26.0417,19.21900966,9.505466943
6013,1611.20485,48.909777500000004,2,146.0,2.77,7.0,10.9,9.1,7.384737532000001,21.7,0.2478,0.141,0.4795,6.1896,8.4996,8.2545,3.4598,11.2153,49.0243,23.1887,52.70258019,35.41685498
6015,27.63595894,54.60232993,0,146.0,2.5,7.7,18.4,24.6,3.319117785,27.1,0.8787,0.6765,0.9968,4.3345,5.843,14.2639,2.807,14.9513,47.6227,18.6557,35.76930334,23.20853843
6017,112.9136707,49.86336035,2,140.0,2.55,6.3,7.1,8.3,4.726623551,20.7,0.171,0.1016,0.2209,4.9095,8.2648,10.1645,3.4539,10.4564,48.2072,17.7961,58.87947703,29.30622448
6019,167.69094950000002,49.90966879,1,61.0,3.15,11.6,25.3,21.1,5.122122699,23.7,0.9242,0.6905,0.8440000000000001,7.6805,7.3205,9.0984,3.5055,14.7199,59.7187,28.4673,48.47973671,24.2297162
6021,21.60888923,50.93508963,0,140.0,2.84,14.0,27.5,14.8,3.0731047680000003,18.5,0.8646,0.8192,0.4871,5.2297,6.8006,13.442,3.8377,11.0559,56.8503,26.1881,1.0,12.72546912
6023,37.99281949,49.60312191,0,146.0,2.31,10.5,9.5,19.7,3.6373971810000003,25.7,0.643,0.3225,0.9042,4.9612,6.3976,9.527999999999999,2.4343,11.7491,42.8198,16.6097,65.59209217,29.22709279
6025,43.38816262,51.2529316,1,97.0,3.34,10.6,31.6,20.7,3.770186653,25.5,0.9854,0.7759,0.9869,5.6967,5.7266,9.3565,4.7658,14.1607,64.0987,27.8473,52.88921644,31.104725
6027,1.7718507630000002,50.09146848,0,97.0,2.25,10.7,11.4,11.8,0.572024629,24.9,0.2844,0.2563,0.8902,4.8674,6.936,11.0246,2.0686,11.56,46.9457,17.9119,56.92264574,41.31974592
6029,110.69981010000001,51.21450519,1,97.0,3.15,11.4,26.2,21.2,4.706822125,19.6,0.9357,0.5552,0.9245,6.704,6.6401,14.1213,3.7857,17.0118,58.0788,25.7177,48.3678345,26.61157735
6031,110.07470740000001,55.14711652,1,61.0,3.19,12.1,27.1,18.4,4.701159294,20.6,0.9283,0.6068,0.9363,6.1638,6.1558,10.1188,4.1544,19.512,60.681000000000004,26.1462,31.0153549,25.04316873
6033,51.24397116,50.00155313,1,146.0,2.39,11.4,15.3,20.2,3.936597975,24.2,0.7959,0.887,0.8370000000000001,4.7817,6.5229,14.9321,3.4494,13.0985,45.0864,18.8629,55.31221622,19.95036941
6035,6.732391141,62.23138063,0,136.0,2.5,5.7,17.7,16.3,1.906930376,21.5,0.6924,0.0535,0.7198,4.0276,5.919,10.9924,2.5145,10.0134,46.4619,18.3801,1.0,24.63362657
6037,2473.978284,49.29762179,2,97.0,2.98,12.4,21.8,14.9,7.813582775,20.6,0.6159,0.1047,0.9045,5.6768,8.3935,11.2158,4.0091,17.675,57.5965,27.7039,57.09810607,35.07942618
6039,73.61808457,48.23393315,1,61.0,3.28,14.0,28.4,21.2,4.29889071,19.4,0.9258,0.6727,0.8239,7.0299,6.7604,11.2333,3.3583,15.4877,58.8184,27.026999999999997,43.05766854,21.52511073
6041,497.4457535,48.91973758,2,146.0,2.36,6.3,6.8,7.9,6.209486512000001,21.7,0.0334,0.0751,0.6985,4.6678,8.7755,5.5556,3.6058,7.9321,40.965,14.8706,49.69167214,36.12196177
6043,11.87380075,50.94460269,0,61.0,2.28,9.1,9.9,15.2,2.474334355,18.3,0.4783,0.3594,0.5938,5.8651,6.696000000000001,11.6325,3.1036,14.0518,46.8231,15.4203,1.0,23.73700031
6045,24.74061272,49.59250251,1,146.0,2.46,13.1,13.1,16.3,3.2084461330000003,23.1,0.6965,0.8182,0.8491,4.1654,6.0032,9.1101,2.396,8.9573,43.306999999999995,14.792,1.0,17.63718858
6047,143.5061009,50.484370500000004,1,146.0,3.32,11.8,31.1,23.0,4.966377549,23.1,0.9615,0.7224,0.8274,7.5777,6.1948,11.8824,3.9087,18.6436,59.2384,27.9237,45.82693655,20.01503595
6049,2.256640895,50.31105079,0,135.0,2.3,11.9,14.5,19.2,0.8138773779999999,27.5,0.7529,0.4476,0.5769,2.8059,5.3818,10.8096,2.1619,10.8096,42.3183,16.0074,50.74720751,14.74529273
6051,4.73732199,53.01855442,0,97.0,2.42,11.5,15.3,9.3,1.555471995,15.6,0.1777,0.0045,0.29,3.5813,6.8871,5.9917,2.4105,7.3691,35.3994,12.259,1.0,3.4724110360000005
6053,132.3114674,50.94422213,1,146.0,3.15,15.3,28.8,11.9,4.885158745,19.8,0.5828,0.3477,0.8399,4.2955,7.3635,7.9223,2.9916,9.3845,53.5225,21.2577,52.69261411,29.71277503
6055,184.061147,49.75534325,1,146.0,2.69,10.2,15.3,6.8,5.215268023,21.5,0.2576,0.0961,0.8249,5.534,7.7799,8.1618,3.1392,12.3948,50.3819,20.1812,67.54332456,33.9359579
6057,104.153398,49.12335221,1,140.0,2.35,8.3,6.5,11.0,4.645864793,23.5,0.2175,0.2248,0.2076,5.5317,7.9917,9.051,3.905,8.8914,46.6823,15.6553,70.12318095,23.41585615
6059,4016.964975,49.33806553,2,97.0,2.99,10.2,15.3,11.5,8.298281915,19.1,0.3248,0.05,0.5683,5.5949,9.6053,9.272,3.9893,13.6951,56.2645,24.9462,46.05274703,32.962350300000004
6061,283.1031762,48.82597049,2,140.0,2.6,5.2,5.5,7.8,5.6458114120000005,22.6,0.07200000000000001,0.1213,0.1974,5.1876,9.479,8.5743,3.0758,9.9652,50.4283,21.1941,42.0179934,26.36008043
6063,7.36651208,49.75275164,0,136.0,2.2,8.0,6.4,14.3,1.996944335,22.3,0.2557,0.3684,0.2388,3.2607,6.2126,9.2032,2.2381,8.3156,43.5848,14.9141,69.79192018,22.85698742
6065,342.8228483,49.86800489,2,97.0,3.14,11.3,18.9,12.9,5.837213837,20.7,0.6892,0.3776,0.6632,4.3565,8.7328,10.7842,3.6308,14.0836,51.8687,24.6529,40.05171628,30.40041504
6067,1608.950489,48.89617527,2,140.0,2.71,7.9,13.0,14.1,7.383337375,22.2,0.5338,0.3563,0.7603,6.2393,7.0845,10.0715,3.409,12.4817,49.8882,24.4181,43.89635007,37.80361756
6069,45.22758531,50.07005477,2,146.0,3.27,10.1,20.9,8.4,3.811707195,19.2,0.4978,0.3855,0.1958,5.997000000000001,7.8561,9.5202,3.958,12.1439,57.4063,22.3688,54.47097179,13.127479000000001
6071,108.6947959,49.79654463,2,97.0,3.26,10.8,20.8,16.0,4.688543917,22.5,0.8277,0.4728,0.8141,5.4113,7.0131,12.5018,3.7614,18.7286,51.4741,28.1849,36.28574167,30.383905100000003
6073,793.5877413,50.32507272,2,145.0,2.75,10.2,13.3,11.9,6.676564109,21.2,0.3914,0.0621,0.8411,4.3194,7.4766,9.0442,3.4015,14.3157,46.8803,21.2576,46.35460729,30.88399178
6075,18808.38489,50.958143,2,146.0,2.26,5.6,12.1,10.1,9.842058053999999,18.4,0.2239,0.0035,0.9497,4.833,6.9411,7.9238,2.9983,10.2464,50.6662,22.066,57.53803688,36.29800743
6077,547.7877124,49.88440565,1,146.0,3.12,9.7,21.6,15.5,6.305887826,20.6,0.7618,0.5957,0.8083,5.9159,6.4739,10.3648,3.8342,14.1441,57.8001,28.1455,42.28054272,28.42808111
6079,85.82840443,50.64338722,1,97.0,2.48,8.6,9.5,11.9,4.4523500060000005,23.6,0.2331,0.0465,0.7832,4.66,8.0704,8.5739,3.2167,9.6991,50.0102,17.9081,48.70710113,22.26259055
6081,1709.535916,49.50709195,2,146.0,2.75,6.4,11.1,6.4,7.443977218,20.5,0.1185,0.0201,0.6043,4.9275,8.657,5.9462,2.6807,10.7189,48.2295,20.4946,56.24296786,36.14971047
6083,163.2483757,49.99899216,1,97.0,2.86,13.1,19.6,14.2,5.095272819,23.0,0.5188,0.1086,0.9156,4.1068,8.1092,7.9569,3.2975,11.6015,48.6284,20.8493,46.59661904,23.22979272
6085,1494.3430740000001,50.6702278,2,146.0,2.9,6.1,12.4,7.5,7.309441973999999,18.6,0.1933,0.0255,0.731,4.9201,7.7724,5.9831,3.4778,10.9466,50.3071,22.389,42.43499423,36.72099602
6087,613.7273401000001,49.47641584,1,146.0,2.66,8.6,13.6,12.6,6.419550758,25.1,0.4277,0.0274,0.9035,5.4476,6.9372,5.7506,2.481,9.7236,43.0653,17.7298,53.56000972,38.62368346
6089,47.69825714,49.12983119,1,135.0,2.48,8.6,9.3,17.0,3.8648948589999996,26.4,0.4895,0.7533,0.815,3.8123,6.3758,11.7098,3.0912,11.6189,45.4564,19.016,59.62395577,25.99648718
6091,3.152505744,50.21630616,0,136.0,2.16,8.9,7.1,13.7,1.1481976109999998,21.9,0.1188,0.1054,0.0882,3.616,7.7307,10.0998,2.8678,7.3566,42.1446,16.2095,1.0,1.0
6093,6.935291952999999,49.7347206,0,135.0,2.28,10.4,10.7,17.7,1.936623151,25.3,0.6019,0.7205,0.6676,3.6104,6.1739999999999995,10.8578,2.1645,9.7756,39.4482,15.2488,62.61710824,20.72655995
6095,544.7369062000001,49.76376264,1,146.0,2.83,6.9,12.4,10.0,6.3003029370000005,22.9,0.3697,0.2716,0.6905,6.0324,6.7811,8.9263,3.1156,11.0686,47.4416,24.6739,37.22340817,29.53369627
6097,313.6948314,48.796972100000005,1,146.0,2.55,9.0,12.3,9.3,5.748420639,21.0,0.2554,0.0853,0.6472,5.2728,7.4845,8.7667,3.0652,12.2074,44.678999999999995,17.1847,47.69957470000001,30.49592525
6099,368.3763371,49.56888098,1,146.0,3.08,9.2,22.2,14.0,5.909105071,21.4,0.8089,0.6428,0.6043,5.2352,6.3097,11.1029,3.6578,12.942,53.4343,27.4207,40.45366026,21.10351002
6101,160.97176340000001,49.8117994,1,140.0,2.98,10.8,21.3,13.2,5.0812289669999995,21.7,0.7885,0.7291,0.6654,6.2027,7.0266,13.1422,3.3626,18.1861,61.336999999999996,26.5657,29.93191258,20.51246248
6103,22.06454194,49.72958023,1,135.0,2.63,9.9,16.0,20.1,3.093971883,20.6,0.8506,0.9761,0.8456,4.1841,5.9964,13.395,3.0504,10.530999999999999,49.8285,20.8831,63.76929185,14.18255264
6105,3.8641188960000004,51.3960114,0,146.0,2.2,9.9,10.2,20.3,1.351733686,22.6,0.657,0.8695,0.6307,3.3438,5.0789,12.2397,2.2713,13.7224,40.5047,15.6151,1.0,8.530878071
6107,96.63654775,49.97672648,1,61.0,3.36,12.0,31.4,24.0,4.570957011,20.4,0.9685,0.6336,0.6371,6.7247,6.2861,11.175999999999998,3.9367,15.9096,62.4419,27.5286,58.92105591,15.54790651
6109,24.52991607,51.78787768,1,146.0,2.3,7.5,9.3,12.2,3.199893437,21.3,0.3624,0.3607,0.6692,5.5204,7.7097,11.4336,2.9311,10.3571,49.7782,16.4012,73.26577817,16.66483612
6111,459.005062,49.4927932,1,97.0,3.04,11.6,16.0,9.5,6.129061237999999,19.5,0.3439,0.1162,0.5508,5.9281,8.3381,8.7534,3.8587,13.1378,54.9124,23.0065,46.30289555,20.51389648
6113,217.30774920000002,48.46984127,2,140.0,2.74,7.2,13.9,17.5,5.381314548,29.7,0.5656,0.0302,0.9519,5.5937,6.3349,7.989,3.3356,10.3638,49.6225,23.5896,46.69881904,19.31074428
6115,124.50620409999999,50.61651497,1,140.0,2.92,9.7,17.9,15.3,4.824355547,22.1,0.8079999999999999,0.8265,0.9077,5.8881,5.9951,15.5231,3.2993,16.4185,55.3771,26.0049,44.49791966,25.299523399999998
8001,443.1302188,50.56134173,2,45.0,2.85,13.8,17.4,10.6,6.093863675,17.1,0.4006,0.4008,0.5524,5.4331,6.5076,11.1533,2.8671,11.7462,44.3492,23.622,49.54602275,28.00095378
