fips,Estimated hesitant,Estimated hesitant or unsure,Estimated strongly hesitant,Social Vulnerability Index (SVI),SVI Category,CVAC level of concern for vaccination rollout,CVAC Level Of Concern,Percent Hispanic,Percent non-Hispanic American Indian/Alaska Native,Percent non-Hispanic Asian,Percent non-Hispanic Black,Percent non-Hispanic Native Hawaiian/Pacific Islander,Percent non-Hispanic White
28137,0.1857,0.3014,0.1262,0.87,Very High Vulnerability,0.91,Very High Concern,0.0263,0.0012,0.0014,0.2987,0.0012,0.646
28015,0.189,0.307,0.1309,0.63,High Vulnerability,0.88,Very High Concern,0.0024,0.0005,0.0,0.3469,0.0,0.6436
28063,0.1752,0.281,0.1211,0.96,Very High Vulnerability,0.97,Very High Concern,0.0722,0.0015,0.006,0.7896,0.0,0.1298
27145,0.0798,0.1248,0.0436,0.39,Low Vulnerability,0.27,Low Concern,0.0337,0.002,0.0208,0.0642,0.0,0.8602
29027,0.142,0.1935,0.0846,0.32,Low Vulnerability,0.65,High Concern,0.0209,0.0051,0.0077,0.0432,0.0033,0.9019
27133,0.0788,0.1211,0.0428,0.15,Very Low Vulnerability,0.17,Very Low Concern,0.0318,0.0031,0.0106,0.0093,0.0,0.9352
28001,0.1752,0.281,0.1211,0.99,Very High Vulnerability,0.92,Very High Concern,0.0585,0.003,0.006,0.5617,0.0,0.3621
27111,0.0719,0.1093,0.0385,0.21,Low Vulnerability,0.29,Low Concern,0.0347,0.0048,0.006,0.0138,0.0,0.9257
28113,0.1752,0.281,0.1211,0.99,Very High Vulnerability,0.9,Very High Concern,0.0159,0.005,0.0032,0.5402,0.0,0.4338
27081,0.0798,0.1233,0.0432,0.07,Very Low Vulnerability,0.23,Low Concern,0.0208,0.0028,0.0016,0.0044,0.0,0.9605
28151,0.1913,0.3145,0.1334,0.98,Very High Vulnerability,0.94,Very High Concern,0.0162,0.001,0.0056,0.72,0.0,0.2514
29007,0.1539,0.2112,0.0923,0.62,High Vulnerability,0.66,High Concern,0.0311,0.0023,0.0013,0.0571,0.0009,0.8666
28057,0.1761,0.2802,0.1194,0.55,Moderate Vulnerability,0.62,High Concern,0.016,0.0036,0.0003,0.0715,0.0003,0.9002
28087,0.168,0.2764,0.1146,0.8,High Vulnerability,0.73,High Concern,0.0204,0.0014,0.0102,0.4373,0.0002,0.5174
28161,0.189,0.307,0.1309,0.73,High Vulnerability,0.98,Very High Concern,0.0139,0.0004,0.0015,0.3965,0.0,0.5802
27167,0.0719,0.1093,0.0385,0.19,Very Low Vulnerability,0.13,Very Low Concern,0.0035,0.0021,0.0002,0.004,0.0,0.9817
27103,0.0738,0.1164,0.0389,0.25,Low Vulnerability,0.38,Low Concern,0.0456,0.0004,0.0171,0.0276,0.0,0.8865
28035,0.1836,0.2909,0.1256,0.94,Very High Vulnerability,0.81,Very High Concern,0.0293,0.0022,0.0085,0.3715,0.0,0.5691
28023,0.1814,0.2915,0.1256,0.67,High Vulnerability,0.94,Very High Concern,0.0065,0.0005,0.0,0.3546,0.0,0.6325
28079,0.1916,0.3008,0.1318,0.99,Very High Vulnerability,0.99,Very High Concern,0.0465,0.0567,0.0051,0.417,0.0,0.4702
28121,0.175,0.2671,0.1189,0.31,Low Vulnerability,0.45,Moderate Concern,0.0275,0.0014,0.0116,0.2072,0.0003,0.7393
28143,0.1857,0.3014,0.1262,0.97,Very High Vulnerability,0.95,Very High Concern,0.0096,0.0,0.014,0.7839,0.0,0.1899
28065,0.193,0.3016,0.1349,0.84,Very High Vulnerability,0.98,Very High Concern,0.0035,0.0,0.0012,0.6129,0.0,0.377
28099,0.1916,0.3008,0.1318,0.97,Very High Vulnerability,0.98,Very High Concern,0.0213,0.1645,0.0054,0.2095,0.0003,0.5827
29167,0.1567,0.2204,0.0948,0.6,Moderate Vulnerability,0.63,High Concern,0.0244,0.0119,0.0025,0.0093,0.0008,0.9374
30001,0.2268,0.2694,0.1537,0.25,Low Vulnerability,0.28,Low Concern,0.0494,0.014,0.0063,0.0007,0.0005,0.903
29029,0.1544,0.2185,0.094,0.34,Low Vulnerability,0.39,Low Concern,0.0273,0.0057,0.0031,0.0074,0.0,0.9425
29207,0.1675,0.2408,0.1018,0.46,Moderate Vulnerability,0.85,Very High Concern,0.0175,0.0002,0.0001,0.0149,0.0,0.9539
30029,0.2461,0.291,0.1669,0.09,Very Low Vulnerability,0.1,Very Low Concern,0.0283,0.014,0.007,0.0034,0.0005,0.9276
29039,0.1576,0.218,0.0958,0.64,High Vulnerability,0.61,High Concern,0.0226,0.0027,0.0021,0.0005,0.0,0.9455
30039,0.2268,0.2694,0.1537,0.08,Very Low Vulnerability,0.17,Very Low Concern,0.0227,0.0036,0.0006,0.0009,0.0,0.9426
29049,0.1441,0.2003,0.0858,0.16,Very Low Vulnerability,0.41,Moderate Concern,0.0214,0.003,0.0066,0.0151,0.0004,0.9372
29141,0.1544,0.2185,0.094,0.63,High Vulnerability,0.85,Very High Concern,0.0226,0.0037,0.0084,0.0088,0.0,0.9413
29113,0.1539,0.2112,0.0923,0.29,Low Vulnerability,0.64,High Concern,0.0248,0.0032,0.0028,0.0191,0.0002,0.9303
29077,0.1441,0.2041,0.0858,0.44,Moderate Vulnerability,0.61,High Concern,0.0372,0.0051,0.0203,0.0324,0.0004,0.8753
