"ToxPi Score","HClust Group","KMeans Group","Name","Source","Infection Rate: Transmissible Cases!20!0xcc3333ff","Infection Rate: Disease Spread!5!0xe64d4dff","Pop Concentration: Pop Mobility!10!0x57b757ff","Pop Concentration: Residential Density!5!0x5ced5cff","Intervention: Vaccines!15!0x4258c9ff","Intervention: Social Distancing!5!0x6079f7ff","Intervention: Testing!5!0x7d90f3ff","Health & Environment: Hospital Beds!10!0x6b0b9eff","Health & Environment: Hospital Ventilators!10!0x7e24aeff","Health & Environment: Pop Demographics!3!0x933fbfff","Health & Environment: Air Pollution!3!0xa95ad2ff","Health & Environment: Age Distribution!3!0xc177e7ff","Health & Environment: Co-morbidities!3!0xdb95feff","Health & Environment: Health Disparities!3!0xe1a6ffff"
"0.4090723287660109","1","10","Nebraska, Douglas","-96.1509,41.2952","0.0","0.0","0.740057681035992","0.6606","0.4391480730223124","1.0","0.4408238891354559","0.7962962962962963","0.272","0.5987821469365853","0.38922155688622756","0.4377631248108773","0.27053435560711386","0.21348300318127553"
"0.4090410892431285","10","9","Texas, Terrell","-102.0767,30.2243","0.5262333917551988","0.5310979539646609","0.349194663432849","0.0229","0.4908722109533468","0.675","0.5901273677867667","0.23148148148148145","0.04496","0.4699789865661059","0.251497005988024","0.7905969508577783","0.519373266030929","0.5233437462265726"
"0.40886833761349367","10","9","Kansas, Russell","-98.7625,38.9146","0.5161140420094025","0.4885741012506648","0.4468588743414773","0.1315","0.6298174442190669","0.675","0.43612578578420214","0.19444444444444442","0.0","0.3928809319142439","0.2694610778443114","0.6899835619092616","0.3639451314004286","0.29981550854567374"
"0.40876624156555186","10","8","Missouri, Cedar","-93.8545,37.7239","0.3643565792876897","0.3993778828820883","0.5213970675763574","0.2018","0.7241379310344828","0.75","0.4214495931662288","0.17592592592592593","0.0","0.24102544945850088","0.3652694610778443","0.6726459331898672","0.3931765510245279","0.6249013685891703"
"0.40871560425773473","3","8","South Dakota, Clay","-96.9766,42.913","0.44289306426689773","0.4204387522885822","0.47075122184122287","0.5677","0.44929006085192696","0.825","0.4208098143927052","0.25","0.13904","0.5312030951271898","0.311377245508982","0.41269877075759065","0.24799828291840514","0.3322869976338151"
"0.4083175085662806","10","9","Illinois, De Witt","-88.9096,40.1751","0.5130333370734484","0.5154022114608271","0.5610947645403704","0.1318","0.5689655172413793","0.75","0.23265771502230373","0.2962962962962963","0.0","0.20532566574398467","0.5089820359281437","0.5858342498966352","0.285594310729813","0.18539410962011577"
"0.40791784721405155","10","8","Texas, Carson","-101.3543,35.4037","0.5018103879938095","0.5115050854773129","0.4414426480956326","0.0083","0.4908722109533468","0.75","0.45691649902583953","0.40157407407407403","0.178","0.3886403840401294","0.23952095808383234","0.5691748594129424","0.21554174876130427","0.10336160070710623"
"0.40784327050138325","8","2","Virginia, Loudoun","-77.6348,39.0899","0.39127684851627753","0.49178098969335843","0.6831592129420168","0.0853","0.3823529411764706","1.0","0.3051633738175971","0.648148148148148","0.05600000000000001","0.4690943975680012","0.39520958083832336","0.30440018439969097","0.09506484051843857","0.04929784124530339"
"0.40768287456956437","10","8","Montana, Prairie","-105.3794,46.8605","0.46744783353708597","0.45723071889829625","0.30887265659680674","0.0322","0.6774847870182557","0.575","0.3477150519475303","0.6388888888888888","0.0","0.2047105493978927","0.14371257485029942","0.7469939835325977","0.32272182223142315","0.15476596060605438"
"0.4075078687043444","10","8","Kansas, Jackson","-95.7936,39.4167","0.47228452128546167","0.45626130626051664","0.4849282944007837","0.0987","0.44523326572008115","0.75","0.33948294670474516","0.537037037037037","0.0","0.5291359893589871","0.37724550898203596","0.5918944128138512","0.3823692248413804","0.18092915724356956"
"0.40746646131182496","10","9","Virginia, Lancaster","-76.464,37.7189","0.5548169173850386","0.6086413160835509","0.5625328425498428","0.1512","0.44016227180527384","0.75","0.30763600452571765","0.1574074074074074","0.0","0.5663957588613946","0.32934131736526945","0.8327916323672433","0.3539759417774936","0.17119021755651834"
"0.40737717255268663","3","8","Florida, Gulf","-85.2427,29.9354","0.43076002773309935","0.37120188931226555","0.5136988084031847","0.4352","0.5588235294117647","0.675","0.43035134850942913","0.1574074074074074","0.0","0.580711443992604","0.3652694610778443","0.6170727822364962","0.42102008800525514","0.5060380287597386"
"0.4071990260455264","10","9","Iowa, Fremont","-95.6013,40.7454","0.5807859141127897","0.6019509751082257","0.5368416364416688","0.0821","0.5507099391480731","0.75","0.4584553671161096","0.09259259259259259","0.0","0.2316237546325869","0.3652694610778443","0.6544622387094758","0.34003528459606686","0.10416300552117896"
"0.4068237408815193","3","8","Mississippi, Madison","-90.0351,32.6339","0.41481894274857284","0.41291607126936597","0.6068587605507838","0.2693","0.44421906693711966","1.0","0.44022696434853065","0.21296296296296297","0.10400000000000001","0.6004947981948573","0.4610778443113772","0.4437744133187831","0.3009378647178681","0.1511406847560257"
"0.4067904440606431","3","8","Texas, Newton","-93.7441,30.7855","0.37720263925281744","0.5134654199326852","0.42525627062755594","0.3289","0.4908722109533468","0.5","0.4339823892664365","0.34027777777777773","0.10904","0.6236517297101167","0.38922155688622756","0.6114115319998742","0.3931895158249542","0.6973353077984307"
"0.4067809573903507","10","8","South Dakota, Bennett","-101.6666,43.1949","0.501592348179125","0.5090367146887539","0.35604708617749403","0.2146","0.565922920892495","0.5","0.2884207310394071","0.3055555555555555","0.0","0.6534751751385641","0.10778443113772454","0.41269877075759065","0.6749836868703201","0.8114217081270829"
"0.4065789198466595","5","9","Texas, Throckmorton","-99.2123,33.1775","0.7265225968402452","0.8175186386496103","0.3820994654891243","0.0337","0.4908722109533468","0.5","0.37694837272875287","0.018518518518518517","0.0","0.36314979888754345","0.281437125748503","0.7006109322771243","0.25646356193226577","0.43745257668543"
"0.4063186393175947","10","8","Texas, Oldham","-102.6028,35.4043","0.4716688881160801","0.438943438801938","0.4056951850684464","0.5215","0.4908722109533468","0.5","0.4140994561525138","0.43870370370370365","0.10303999999999999","0.4662572476626273","0.18562874251497005","0.4886637078344629","0.17885334008770143","0.3433635094482079"
"0.4063083016187559","10","9","Kansas, Jefferson","-95.3829,39.2348","0.5433383418710499","0.5384343185311254","0.4930856495354665","0.0172","0.5314401622718053","0.75","0.308366416895023","0.23148148148148145","0.10496000000000001","0.3211341078834456","0.40119760479041916","0.5837920978957992","0.34985639409031116","0.15308176303245674"
"0.4062861852452956","3","8","Louisiana, Pointe Coupee","-91.6021,30.7141","0.4342587109522479","0.3854281666237187","0.49442574041547716","0.6024","0.5172413793103449","0.75","0.36136692604312015","0.12962962962962962","0.0","0.5734057976529695","0.37724550898203596","0.6114115319998742","0.40356006659786553","0.5171419121153102"
"0.4061639146409515","10","9","Kansas, Rooks","-99.3248,39.3502","0.5399606711087435","0.5053502604912614","0.4703476336125024","0.0742","0.5780933062880325","0.32499999999999996","0.4277624921695712","0.4629629629629629","0.0","0.2697128296215592","0.251497005988024","0.6458942336050534","0.3400020173853642","0.20993015291365816"
"0.4060335688218762","10","8","Minnesota, Pipestone","-96.2584,44.023","0.43828751884996753","0.4271948875255512","0.5189080041569681","0.5823","0.5354969574036511","0.32499999999999996","0.2839017875980155","0.5","0.0","0.4432694639394631","0.2694610778443114","0.626321192473144","0.307162380726078","0.19514879399899548"
"0.40577671101539275","10","9","Michigan, Charlevoix","-85.1961,45.3779","0.5646687431830715","0.6438679907360448","0.5582532788349334","0.1687","0.4279918864097363","0.675","0.3738324327582064","0.27777777777777773","0.0","0.3314883125597843","0.2634730538922156","0.6710290464557254","0.3342578783470492","0.13212012812303534"
"0.4055586342683859","10","9","Kansas, Rawlins","-101.0762,39.7853","0.5965160590563646","0.5589246801122782","0.3932886049057355","0.0621","0.6328600405679513","0.5","0.503211130986702","0.24074074074074073","0.0","0.2458450735729235","0.2035928143712575","0.7224119892866149","0.2715811747625566","0.11362532308410414"
"0.40555355208947524","3","8","Louisiana, Assumption","-91.0646,29.8995","0.39773824991872","0.36650962734284676","0.5169193479004416","0.3935","0.6359026369168357","0.75","0.5061900126384205","0.0","0.0","0.6457446968643017","0.37724550898203596","0.5494974081927578","0.5183599210149905","0.5131054575825286"
"0.40540478977188366","10","9","Iowa, Dallas","-94.0413,41.6856","0.5967689509022247","0.5630152047312924","0.7035873104582322","0.1595","0.4330628803245436","1.0","0.3147519184458553","0.09259259259259259","0.0","0.3308995911109328","0.3712574850299401","0.41269877075759065","0.1948540398061454","0.01063081592263107"
"0.40522674640744577","3","8","Kentucky, Carlisle","-88.9669,36.8537","0.3485239862632445","0.36905170262036124","0.4645559410309242","0.178","0.6511156186612577","0.32499999999999996","0.34615210080267106","0.5035185185185185","0.11495999999999999","0.3457761661057754","0.47904191616766467","0.6281436499318728","0.39128285255325135","0.4437877562251787"
"0.404963818183464","5","9","Texas, Reagan","-101.5233,31.3661","0.7031312176328952","0.6595685279625948","0.44428341302095975","0.0659","0.4908722109533468","0.32499999999999996","0.5661628455619007","0.0","0.10303999999999999","0.45296107168821026","0.251497005988024","0.3335641371157166","0.2353795215940718","0.5646926981327158"
"0.4046756151135745","10","9","South Dakota, Grant","-96.77,45.1724","0.5663540856374457","0.5111827293334065","0.47711542783571403","0.0672","0.6206896551724138","0.675","0.3167491465259228","0.2962962962962963","0.0","0.35291444359780993","0.14970059880239522","0.6207997313712245","0.1955738859354245","0.09613079042834162"
"0.40442993161027685","10","8","Texas, Cottle","-100.2785,34.0778","0.5013183592338906","0.465504215392665","0.36902309513892323","0.2111","0.4908722109533468","0.5","0.5260057900177336","0.29981481481481476","0.066","0.4931728172527113","0.251497005988024","0.6476236650502001","0.35262848987933515","0.6524492503164986"
"0.4043858496795681","10","9","Utah, Box Elder","-113.0833,41.5211","0.5910756155188287","0.5742315141890061","0.48211314536201705","0.0958","0.6176470588235294","0.675","0.3635362712901799","0.17592592592592593","0.0","0.2789643469429918","0.25748502994011974","0.4437744133187831","0.21951435006463793","0.20997423805077808"
